Q10553236,Q686822
Q1054403,Q7631050
Q104637874,Q1716124
Q104216506,Q505213
Q10341430,Q79913
Q10296456,Q16138149
Q16678077,Q98929143
Q99777772,Q19898787
Q4793055,Q1569963
Q36348834,Q893745
Q3153995,Q28113351
Q2986880,Q1945590
Q2732056,Q1575079
Q26760286,Q22808747
Q130286,Q124728925
Q998170,Q98560886
Q97302511,Q1756942
Q932522,Q16947618
Q829548,Q59152282
Q814691,Q60495698
Q76162588,Q1192539
Q751708,Q532
Q7506281,Q12340140
Q7252718,Q1527956
Q658882,Q14897866
Q652941,Q15847164
Q647631,Q1071013
Q63386008,Q17008276
Q629085,Q54940067
Q60817979,Q2268906
Q5659726,Q327333
Q56252787,Q1478459
Q55612423,Q1093829
Q54593011,Q329547
Q5034466,Q12379081
Q5034013,Q2543279
Q4846867,Q163687
Q47450979,Q55760862
Q41792217,Q614112
Q41323,Q1546270
Q403523,Q4005689
Q385378,Q3875186
Q3751709,Q25383952
Q3700011,Q26262476
Q3516404,Q105769
Q3421644,Q182415
Q3401418,Q693033
Q3343298,Q1940786
Q3154693,Q701632
Q2901790,Q4674287
Q28948553,Q853520
Q28549151,Q17276484
Q278368,Q613354
Q2742033,Q424525
Q2575910,Q2503193
Q2540029,Q210815
Q2501541,Q1180777
Q2367508,Q12081657
Q2267256,Q127415712
Q2122914,Q845080
Q2072453,Q384724
Q20019082,Q15078955
Q19358305,Q28943989
Q185557,Q779939
Q18120271,Q100259337
Q180538,Q28778386
Q1781726,Q11821836
Q17586363,Q12106333
Q1746393,Q1361551
Q16858953,Q733553
Q16744001,Q2478141
Q15911581,Q50231
Q14897892,Q21760838
Q14866374,Q655677
Q137516007,Q131359
Q134161,Q33685
Q1333055,Q121075789
Q1266169,Q7696092
Q12656492,Q41719
Q125880172,Q1153376
Q1250390,Q60797
Q12355361,Q184511
Q123130642,Q92026
Q122898840,Q17990971
Q122395769,Q124632248
Q122015939,Q161462
Q121624935,Q19838177
Q121295885,Q334453
Q1188986,Q186081
Q1172486,Q2775060
Q116215378,Q13218276
Q115958827,Q56148242
Q11421258,Q1080794
Q1140308,Q5504601
Q111836983,Q28803
Q110249708,Q5892272
Q109680672,Q516775
Q10925338,Q55450691
Q1082351,Q2051704
Q10650843,Q268626
Q1055911,Q2000344
Q55011647,Q7900855
Q28597104,Q14911663
Q16241299,Q745877
Q14888548,Q14907285
Q133871019,Q133868355
Q133871018,Q133868351
Q11448772,Q93918935
Q111464733,Q7048730
Q9392615,Q4005772
Q759957,Q1639780
Q7457856,Q107379946
Q7256482,Q18553616
Q7248124,Q7894996
Q6940403,Q4116663
Q690109,Q781132
Q658645,Q255595
Q60731643,Q1595639
Q5446532,Q745775
Q54128,Q464705
Q5056369,Q62088406
Q4445088,Q2159907
Q4128863,Q57775518
Q4122815,Q29881657
Q4056433,Q333291
Q321053,Q103834702
Q2995256,Q136687992
Q2972150,Q131186
Q29346471,Q10688145
Q28969936,Q6485012
Q2826641,Q108838180
Q249860,Q1306981
Q23006,Q13405470
Q207320,Q1673189
Q188968,Q1900281
Q18646132,Q4986589
Q18554938,Q5282521
Q17987422,Q24898692
Q1759242,Q1069928
Q17342249,Q1519259
Q17102188,Q17377208
Q15322277,Q14818129
Q1521034,Q728646
Q14864790,Q22278467
Q1416296,Q573607
Q1415274,Q352867
Q1403186,Q113212893
Q1335878,Q1203807
Q133287381,Q936190
Q1314860,Q159334
Q127711166,Q2008856
Q127019549,Q96882649
Q123523193,Q572835
Q123027638,Q11412380
Q118496241,Q118496730
Q1121559,Q11655558
Q109418092,Q918236
Q107691830,Q2616170
Q107061,Q78329344
Q10509147,Q682697
Q1040374,Q66737643
Q14906653,Q21112299
Q133870489,Q133930880
